student_id,attendance_pct,study_hours_per_day,assignment_score_pct,internal_marks_pct,previous_gpa,previous_backlogs,sleep_hours,class_participation_pct,risk_level
S0028,47.4,1.1,65.9,63.9,8.31,2,8.3,86.3,High
S0029,53.5,4.7,95.8,90.3,7.97,2,6.8,31.1,Medium
S0030,82.6,6.5,38.9,64.6,8.67,1,5.5,92.8,Low
S0031,86.0,7.4,49.0,63.1,9.06,3,8.7,62.5,Low
S0032,98.2,6.7,73.1,92.7,8.45,2,5.7,66.9,Low
S0033,62.9,0.8,47.7,62.0,7.72,3,4.6,60.8,High
S0034,65.4,3.3,79.2,45.9,6.27,3,5.6,22.9,High
S0035,70.8,0.9,48.9,48.0,8.34,0,6.2,59.8,Medium
S0036,55.4,1.3,41.4,40.7,9.76,0,6.1,41.1,High
S0037,52.1,5.6,48.5,35.0,7.73,2,6.9,47.4,High
S0038,71.2,5.8,62.5,60.9,8.15,1,8.5,71.9,Low
S0039,57.5,6.3,46.4,81.2,6.9,1,5.8,59.8,Medium
S0040,81.8,7.0,43.8,79.0,8.66,0,6.8,27.5,Low
S0041,69.0,6.0,90.9,36.9,9.99,1,6.0,25.8,Low
S0042,90.8,6.5,55.8,69.2,5.38,1,8.2,34.9,Medium
S0043,83.5,0.9,58.4,44.3,5.61,1,5.2,35.3,High
S0044,62.2,2.3,38.6,91.5,7.47,2,5.0,68.7,High
S0045,90.8,5.2,58.2,45.0,7.15,2,6.8,34.2,Medium
S0046,89.3,6.9,52.2,72.6,7.64,1,7.5,90.5,Low
S0047,66.3,0.5,74.7,54.6,4.77,0,8.1,36.8,High
S0048,60.9,4.4,48.4,73.5,6.72,2,7.2,27.3,High
S0049,82.5,5.6,92.7,59.7,7.71,0,8.0,90.1,Low
S0050,52.7,0.7,95.4,80.6,7.72,1,6.3,43.6,Medium
S0051,56.0,3.5,41.5,48.8,8.12,1,4.6,54.0,High
S0052,45.4,7.2,42.0,89.3,8.46,0,5.0,96.7,Low
S0053,88.3,5.5,42.5,65.0,8.03,1,4.7,95.5,Low
S0054,81.6,2.3,75.3,80.4,8.85,1,6.0,77.2,Low
S0055,83.8,6.9,42.9,86.0,7.94,3,6.7,25.5,Medium
S0056,87.9,3.1,90.4,94.9,7.46,3,6.1,67.5,Medium
S0057,70.2,6.9,84.0,48.4,7.83,0,7.0,99.1,Low
S0058,76.3,2.7,88.3,52.2,5.06,2,6.7,95.8,High
S0059,52.7,4.9,69.2,50.0,6.0,2,7.6,28.5,High
S0060,51.3,3.5,99.8,50.8,7.4,1,7.5,51.7,Medium
S0061,81.8,2.6,37.9,69.9,9.3,1,5.9,45.2,Medium
S0062,70.9,7.1,61.1,94.6,8.23,3,6.1,30.4,Low
S0063,76.1,1.9,56.1,94.4,5.0,1,7.1,75.6,Medium
S0064,87.1,1.1,96.7,66.6,7.76,0,7.2,41.9,Low
S0065,79.9,3.1,72.5,73.3,5.72,1,5.9,47.6,Medium
S0066,75.4,5.9,87.4,86.6,8.54,1,6.0,27.2,Low
S0067,75.8,6.6,46.1,91.0,9.05,1,7.6,59.8,Low
S0068,61.7,8.0,98.6,47.2,7.76,0,7.4,32.7,Low
S0069,46.7,2.7,67.4,66.7,7.75,0,5.1,54.6,Medium
S0070,69.0,3.6,67.1,85.0,6.36,3,6.5,31.5,High
S0071,56.8,1.5,98.1,53.2,6.95,0,8.5,96.3,Medium
S0072,67.5,4.8,59.7,61.4,9.25,2,4.7,31.6,Medium
S0073,91.9,8.0,60.8,94.1,8.48,2,8.3,61.8,Low
S0074,57.9,5.8,73.0,94.1,7.36,2,5.2,35.8,Medium
S0075,48.2,5.0,43.3,89.4,6.53,3,6.8,26.1,High
S0076,60.5,3.4,55.9,82.9,4.78,0,6.4,36.2,Medium
S0077,61.1,7.4,47.6,51.1,5.29,1,4.5,24.4,High
S0078,81.4,4.2,41.7,54.3,5.56,0,8.6,31.2,Medium
S0079,75.6,1.5,91.3,67.8,6.55,2,6.5,59.5,Medium
S0080,88.1,3.2,73.3,68.6,9.69,2,8.8,72.1,Low
S0081,81.5,1.0,58.3,65.3,7.28,3,5.8,27.0,High
S0082,67.4,2.0,61.6,73.2,5.79,1,8.4,55.3,Medium
S0083,89.8,0.6,63.0,59.5,5.08,0,8.7,66.5,Medium
S0084,54.2,3.9,76.2,80.0,6.36,3,7.0,38.7,High
S0085,46.2,5.3,95.2,55.0,8.99,2,5.4,49.8,Medium
S0086,50.0,3.1,95.6,54.8,6.61,3,7.6,25.7,High
S0087,84.7,3.7,60.4,42.6,8.75,1,7.0,37.6,Medium
S0088,70.4,7.7,56.4,46.3,8.91,1,8.8,57.3,Low
S0089,53.9,6.1,64.3,86.0,5.11,1,6.5,99.2,Medium
S0090,72.6,4.6,71.9,61.8,7.85,2,5.7,99.7,Medium
S0091,53.4,2.6,65.0,48.7,9.78,0,5.1,98.4,Medium
S0092,83.3,7.2,77.8,80.6,6.71,3,7.6,53.8,Low
S0093,69.5,2.3,71.0,68.2,4.78,0,8.9,26.5,Medium
S0094,66.0,2.9,55.8,36.3,9.58,1,4.6,45.9,High
S0095,61.6,7.3,57.5,54.0,9.36,1,7.8,39.0,Low
S0096,79.7,4.5,59.6,45.6,7.37,2,8.7,21.1,High
S0097,64.9,6.1,41.2,74.4,7.54,2,4.8,27.6,Medium
S0098,49.8,4.9,45.8,51.5,5.66,3,5.0,56.3,High
S0099,51.5,5.4,82.0,38.9,9.01,3,7.6,47.2,High
S0100,97.9,2.7,60.3,38.3,7.24,0,7.4,34.4,Medium
S0101,95.0,2.3,48.9,69.9,4.69,0,4.8,77.3,Medium
S0102,83.5,2.9,71.6,36.3,8.26,3,8.3,48.6,High
S0103,59.6,1.7,84.1,85.9,9.73,1,6.9,88.1,Low
S0104,98.3,7.1,51.7,44.3,9.06,0,8.6,39.3,Low
S0105,87.8,2.6,88.7,71.4,6.02,3,8.5,63.1,Medium
S0106,84.4,4.7,95.3,61.7,4.79,2,8.2,34.7,Medium
S0107,69.7,6.4,73.8,61.6,9.67,0,6.8,59.6,Low
S0108,60.0,6.4,78.5,39.3,9.65,3,5.6,32.2,Medium
S0109,50.3,3.8,38.4,83.2,7.43,2,6.8,32.9,High
S0110,94.6,4.1,96.5,88.6,8.03,2,5.0,69.0,Low
S0111,70.1,8.0,60.5,35.7,7.04,3,7.5,41.1,High
S0112,56.1,5.6,95.1,45.7,6.81,1,5.1,33.8,Medium
S0113,61.8,6.6,72.6,89.2,5.16,1,6.8,94.4,Low
S0114,76.9,7.3,35.3,68.0,5.03,2,4.7,23.4,High
S0115,54.7,6.4,37.5,44.0,5.78,0,5.8,65.2,High
S0116,92.1,1.9,79.2,47.2,9.1,0,5.5,63.9,Low
S0117,86.7,4.7,71.6,74.6,5.3,3,7.3,40.0,High
S0118,84.6,1.3,36.7,78.5,5.75,0,8.0,56.2,Medium
S0119,68.8,5.4,83.3,71.0,7.52,2,4.8,27.0,Medium
S0120,79.5,7.7,90.4,92.2,5.68,1,8.3,77.7,Low
S0121,77.1,4.3,67.3,64.6,5.4,0,8.4,37.7,Medium
S0122,80.7,3.7,65.3,53.0,7.6,2,6.0,35.5,High
S0123,49.6,0.8,35.4,63.6,6.52,3,7.5,45.2,High
S0124,67.9,7.7,86.1,56.6,7.94,1,6.3,92.2,Low
S0125,47.3,1.3,56.5,48.5,9.52,0,5.2,83.7,Medium
S0126,72.2,0.8,92.1,37.8,5.33,0,6.9,95.8,High
S0127,63.1,2.3,59.2,56.1,9.52,0,4.9,72.2,Medium
S0128,52.9,1.0,71.7,77.7,9.46,3,8.5,73.0,Medium
S0129,50.7,3.9,52.6,36.1,9.06,1,8.7,58.4,Medium
S0130,77.3,4.4,45.4,61.4,7.97,1,8.2,92.4,Medium
S0131,54.4,2.8,85.4,73.6,7.91,0,7.0,60.9,Low
S0132,95.9,0.9,67.3,71.6,8.02,1,7.0,48.4,Medium
S0133,77.0,1.3,69.9,81.6,8.3,3,8.9,71.2,Medium
S0134,64.1,3.4,97.8,83.6,4.59,1,5.6,63.7,Medium
S0135,77.5,1.0,97.6,77.7,9.77,2,4.8,29.9,Medium
S0136,46.3,5.7,90.6,41.2,7.72,0,7.0,51.4,Medium
S0137,97.7,2.1,47.2,63.5,8.8,0,6.0,45.1,Low
S0138,71.5,2.8,73.6,71.2,6.58,2,6.0,87.7,Medium
S0139,88.1,3.5,92.1,49.7,4.57,0,4.5,50.3,Medium
S0140,49.6,3.6,59.3,37.6,7.3,1,7.2,85.7,High
S0141,71.8,0.5,41.6,48.4,7.29,1,5.7,55.4,High
S0142,72.0,1.3,87.7,62.3,6.9,0,5.3,80.3,Medium
S0143,96.6,7.0,66.3,59.8,6.37,2,4.7,30.8,Medium
S0144,76.4,0.5,71.7,45.6,5.87,3,6.1,94.0,High
S0145,71.0,4.3,98.8,84.5,7.4,0,8.5,58.4,Low
S0146,59.7,4.2,74.5,90.5,6.56,3,6.0,40.8,Medium
S0147,63.2,3.0,62.6,47.1,9.83,2,7.6,39.3,Medium
S0148,73.6,3.7,59.0,90.8,5.45,2,7.9,41.2,Medium
S0149,69.1,6.4,62.1,36.1,6.26,0,6.0,49.3,Medium
S0150,46.2,6.8,42.7,90.5,6.12,3,8.2,77.4,Medium
S0151,90.4,2.5,86.7,92.1,7.49,0,7.6,96.0,Low
S0152,94.3,2.9,89.5,35.7,7.25,3,7.0,73.5,High
S0153,52.7,2.3,53.5,80.8,8.04,2,4.5,63.8,High
S0154,75.5,4.1,54.7,93.2,9.73,1,4.7,55.9,Low
S0155,51.0,5.6,91.8,89.4,6.07,0,9.0,86.3,Low
S0156,82.0,2.2,36.6,93.2,8.31,2,8.0,88.0,Medium
S0157,60.5,3.0,68.8,68.0,4.64,0,8.7,43.4,Medium
S0158,81.3,7.5,65.1,39.7,5.94,2,8.6,96.3,Medium
S0159,85.0,0.9,79.9,86.0,7.05,3,4.6,51.6,High
S0160,87.3,4.0,45.6,71.8,4.67,1,8.1,84.0,Medium
S0161,50.9,5.8,78.4,71.9,7.9,0,6.5,97.3,Low
S0162,95.4,1.6,59.5,60.0,8.23,0,8.1,76.3,Low
S0163,57.7,0.9,75.2,69.3,8.61,0,4.5,32.9,Medium
S0164,47.1,1.5,37.6,44.2,7.34,0,5.8,66.9,High
S0165,75.5,7.4,65.0,79.4,7.82,0,7.9,29.5,Low
S0166,65.4,0.6,68.9,39.5,6.68,2,8.1,83.1,High
S0167,90.6,1.9,48.9,78.8,4.73,1,7.3,42.5,Medium
S0168,89.5,0.7,44.1,85.9,5.05,3,5.9,75.6,High
S0169,62.4,1.3,47.3,63.3,8.1,3,5.9,92.8,High
S0170,97.4,5.2,57.4,65.6,9.98,3,8.9,34.5,Low
S0171,61.0,2.3,41.3,53.7,4.59,2,6.5,51.4,High
S0172,73.3,4.8,96.6,93.2,7.57,1,6.5,71.8,Low
S0173,59.1,4.9,61.3,79.0,8.63,3,7.0,53.6,Medium
S0174,96.5,6.9,87.6,57.1,9.05,0,6.3,34.0,Low
S0175,54.1,0.5,98.3,45.5,7.5,1,7.0,22.3,High
S0176,47.5,6.9,40.2,48.2,7.91,1,6.4,52.5,Medium
S0177,68.9,5.1,77.4,62.8,8.33,2,8.2,71.9,Medium
S0178,99.6,1.7,91.6,91.6,9.22,2,8.6,65.9,Low
S0179,94.0,6.3,76.2,79.0,5.17,3,8.7,32.5,Medium
S0180,86.2,6.9,62.9,47.9,9.59,3,7.0,56.1,Medium
S0181,94.0,2.4,63.0,86.6,4.64,1,6.5,49.6,Medium
S0182,94.1,7.4,37.3,57.7,9.1,3,7.7,41.9,Medium
S0183,73.5,3.9,69.7,86.1,4.92,0,8.3,78.3,Low
S0184,62.4,5.0,99.6,49.5,5.57,3,7.0,44.8,High
S0185,87.5,7.9,97.3,72.1,4.52,0,7.6,63.2,Low
S0186,81.4,3.2,37.6,90.6,6.95,3,7.9,93.9,Medium
S0187,65.6,6.6,80.9,50.5,6.34,1,7.5,63.1,Medium
S0188,50.2,2.9,54.6,76.6,5.41,3,7.9,69.4,High
S0189,86.1,6.5,93.7,94.2,6.98,0,5.4,25.9,Low
S0190,59.4,5.0,37.9,44.0,6.71,1,6.7,34.3,High
S0191,96.5,2.1,95.8,40.3,8.72,3,7.1,28.1,Medium
S0192,58.3,3.6,89.4,75.5,9.41,0,4.5,81.2,Low
S0193,51.8,2.9,42.6,55.4,8.09,1,8.4,86.9,Medium
S0194,90.7,1.1,38.9,39.3,5.18,0,7.2,34.9,High
S0195,53.4,0.7,89.3,63.5,6.12,1,5.1,37.5,High
S0196,54.9,3.1,45.1,80.2,9.52,1,8.2,45.9,Medium
S0197,78.0,0.6,69.8,52.1,4.99,2,7.7,67.3,High
S0198,93.1,1.7,94.5,55.1,6.74,1,7.9,69.7,Medium
S0199,55.8,5.9,71.9,85.7,9.68,0,6.3,74.9,Low
S0200,62.1,5.8,60.8,66.2,9.73,0,8.3,92.4,Low
S0201,87.8,6.0,63.9,85.6,6.76,3,6.4,43.6,Medium
S0202,98.5,2.9,39.1,61.8,8.17,3,7.1,72.7,Medium
S0203,72.5,7.2,98.0,92.2,7.01,0,4.5,64.8,Low
S0204,52.9,5.0,55.2,74.0,8.64,0,7.4,44.5,Low
S0205,45.8,1.4,47.3,42.0,4.67,0,7.7,92.6,High
S0206,57.6,1.6,53.6,88.1,5.29,3,7.1,27.6,High
S0207,52.3,5.7,97.7,64.4,7.88,2,6.7,77.0,Medium
S0208,82.3,1.8,41.1,43.5,5.78,3,8.1,78.2,High
S0209,51.7,4.3,91.4,44.2,8.16,1,7.6,93.2,Medium
S0210,72.8,7.9,81.0,76.3,6.43,2,5.8,61.5,Low
S0211,83.2,0.5,89.0,37.8,9.38,0,8.8,45.7,Medium
S0212,77.0,0.6,98.4,52.2,9.01,2,7.7,86.2,Medium
S0213,56.0,7.9,89.7,43.4,7.21,2,8.9,81.7,Medium
S0214,89.2,4.9,96.3,61.5,8.75,1,8.9,60.0,Low
S0215,84.3,1.5,43.3,59.9,5.99,2,8.6,81.4,High
S0216,85.6,7.2,86.7,66.3,7.22,2,7.9,41.4,Low
S0217,52.2,7.1,70.5,51.8,5.59,1,7.2,67.2,Medium
S0218,51.8,4.5,70.3,36.9,9.23,0,5.3,89.2,Medium
S0219,96.0,5.2,93.4,71.9,9.03,0,6.9,45.4,Low
S0220,66.9,2.5,98.2,57.4,9.46,3,7.9,58.7,Medium
S0221,61.6,0.9,80.8,74.1,9.33,1,6.8,96.1,Medium
S0222,71.9,5.0,66.4,41.5,9.78,1,8.4,83.9,Low
S0223,81.5,2.7,64.7,35.8,5.76,2,5.0,91.0,High
S0224,97.6,5.5,60.1,49.9,9.63,1,6.2,50.8,Low
S0225,60.8,6.8,58.5,62.4,7.64,1,6.8,99.7,Low
S0226,95.9,0.6,60.4,58.6,6.82,2,6.4,32.2,High
S0227,46.4,5.0,40.8,83.6,7.58,2,5.0,61.5,Medium
S0228,75.5,2.2,40.0,57.7,6.38,2,5.2,58.3,High
S0229,79.9,7.1,85.7,66.8,6.09,0,8.3,83.9,Low
S0230,50.8,2.4,64.0,70.6,5.83,1,6.7,92.7,High
S0231,52.7,5.1,95.5,36.3,4.95,1,4.7,78.5,High
S0232,68.1,4.7,74.8,65.9,7.23,2,4.6,70.1,Medium
S0233,98.1,3.5,37.3,55.7,9.38,0,6.6,54.2,Low
S0234,77.8,5.6,45.2,60.3,7.97,0,5.2,60.8,Low
S0235,96.3,5.9,48.4,41.0,7.37,3,7.7,60.7,Medium
S0236,89.2,4.8,98.4,82.0,6.86,2,8.1,21.6,Low
S0237,70.7,6.2,49.2,91.5,7.05,3,5.5,60.2,Medium
S0238,88.2,7.9,68.5,36.3,5.65,1,7.2,88.5,Medium
S0239,46.0,3.6,95.9,71.1,9.03,3,5.2,76.7,Medium
S0240,51.0,4.4,98.5,80.8,5.59,1,5.9,83.7,Medium
S0241,90.6,0.6,50.4,52.1,8.44,2,8.5,51.2,High
S0242,88.8,6.5,38.2,82.3,8.68,0,6.9,62.3,Low
S0243,57.8,4.4,45.0,72.9,7.66,3,8.5,22.7,High
S0244,74.2,3.6,39.1,90.7,9.25,1,5.5,50.6,Low
S0245,78.3,1.2,47.7,93.9,6.1,3,6.0,58.0,High
S0246,92.7,7.2,72.0,37.5,9.35,1,6.6,40.4,Low
S0247,78.2,3.5,94.3,61.7,8.51,3,6.7,22.5,Medium
S0248,67.7,5.6,69.9,67.8,8.89,1,9.0,75.2,Low
S0249,65.6,1.6,75.7,43.8,8.16,0,5.0,54.8,Medium
S0250,68.4,7.7,48.1,55.2,9.15,0,8.3,53.3,Low
S0251,80.9,1.8,87.0,94.3,9.96,2,8.4,40.0,Low
S0252,92.7,2.0,75.2,36.0,6.81,0,7.0,63.0,Medium
S0253,70.0,6.9,91.2,62.2,8.98,1,6.0,55.0,Low
S0254,58.6,7.3,96.7,85.6,8.6,2,6.8,57.9,Low
S0255,58.0,2.1,57.6,54.4,6.99,1,5.8,66.5,High
S0256,86.0,4.0,40.9,63.8,9.6,0,8.1,20.5,Low
S0257,89.9,6.0,49.7,93.7,6.67,2,6.7,92.6,Low
S0258,50.8,7.1,63.5,63.5,7.61,2,8.7,25.7,Medium
S0259,48.7,3.3,96.5,42.9,5.08,2,7.3,56.1,High
S0260,77.7,4.4,59.6,38.1,5.74,3,6.8,36.6,High
S0261,53.0,6.1,85.1,91.7,9.12,0,7.7,61.9,Low
S0262,90.4,6.0,70.1,50.9,6.68,1,6.8,42.4,Medium
S0263,62.1,6.4,46.9,65.2,6.67,0,8.6,88.8,Low
S0264,52.9,4.8,55.8,40.4,5.85,3,5.3,51.7,High
S0265,95.7,1.3,77.5,60.4,7.2,2,8.9,71.1,Medium
S0266,54.1,7.3,78.7,90.8,8.93,0,8.2,39.9,Low
S0267,60.7,7.0,63.3,65.1,9.42,2,8.4,21.6,Low
S0268,53.4,6.5,49.9,93.3,4.89,0,6.7,52.3,Medium
S0269,51.4,1.2,81.9,50.5,7.66,1,8.3,62.9,High
S0270,46.2,2.0,46.0,65.3,7.07,2,5.9,56.8,High
S0271,48.0,6.1,95.9,86.6,7.88,2,7.9,97.0,Low
S0272,54.6,0.7,47.2,61.9,6.96,3,5.1,76.5,High
S0273,47.9,7.8,42.0,51.8,6.69,2,5.9,99.7,High
S0274,77.5,3.3,67.3,86.3,7.1,3,6.5,43.6,Medium
S0275,82.4,5.9,68.8,58.4,7.7,2,6.0,83.1,Medium
S0276,66.6,7.2,68.0,66.8,7.26,0,6.2,64.4,Low
S0277,62.5,3.5,63.4,93.6,7.1,0,8.2,68.9,Low
S0278,72.7,2.9,99.7,46.2,9.0,3,5.7,98.9,Medium
S0279,93.1,5.1,66.6,53.1,8.6,0,7.9,72.3,Low
S0280,91.8,4.9,66.1,36.9,6.38,1,4.8,91.9,Medium
S0281,47.4,3.6,62.4,58.5,8.9,0,7.9,78.1,Medium
S0282,55.0,5.0,39.3,47.0,9.2,1,8.1,30.2,Medium
S0283,58.0,7.5,73.5,75.8,5.34,2,6.3,76.0,Medium
S0284,58.7,4.0,49.8,45.9,7.7,0,7.8,58.7,Medium
S0285,76.4,2.0,76.4,75.5,6.07,1,8.6,93.5,Medium
S0286,67.9,3.3,38.3,50.8,8.57,3,8.1,84.5,High
S0287,47.7,3.5,98.8,56.3,5.81,0,6.3,28.3,Medium
S0288,65.5,1.5,65.5,55.9,8.19,0,6.7,30.7,Medium
S0289,73.8,1.7,93.3,78.0,5.9,1,8.0,25.6,Medium
S0290,50.6,5.6,65.9,63.0,7.31,3,5.8,59.5,High
S0291,90.8,3.0,38.9,56.7,9.72,1,8.1,26.5,Medium
S0292,47.9,7.7,88.4,86.2,6.6,2,6.0,77.9,Low
S0293,95.9,2.3,77.1,69.3,9.32,0,8.1,64.2,Low
S0294,50.5,1.2,85.8,47.8,9.93,2,4.9,86.9,High
S0295,91.4,6.2,62.8,89.0,9.31,0,4.7,42.4,Low
S0296,94.6,7.1,76.5,55.6,5.41,2,9.0,61.5,Medium
S0297,98.9,2.6,90.7,37.3,9.01,0,8.4,29.4,Low
S0298,89.1,2.0,76.0,64.7,4.68,3,8.5,90.8,High
S0299,87.9,1.9,57.6,42.4,6.66,1,8.8,34.0,High
S0300,80.3,4.4,78.1,49.3,9.29,0,6.5,28.2,Low
S0301,87.8,4.0,78.7,79.8,8.29,1,5.8,36.4,Low
S0302,52.4,2.4,97.4,42.8,7.43,0,5.1,84.5,Medium
S0303,74.5,0.8,59.1,83.4,6.63,0,6.8,28.5,Medium
S0304,73.3,4.1,62.6,91.2,8.97,2,5.5,69.2,Low
S0305,92.2,7.7,87.8,71.4,8.4,1,8.7,79.7,Low
S0306,70.5,5.4,67.9,77.6,7.08,1,4.5,80.1,Low
S0307,66.2,4.2,82.9,77.8,9.41,3,5.1,35.2,Medium
S0308,80.2,1.3,64.9,94.6,5.76,0,5.6,24.9,Medium
S0309,59.7,2.4,49.0,55.5,5.44,1,5.4,55.9,High
S0310,52.7,2.7,83.4,44.8,8.04,0,5.5,36.2,Medium
S0311,71.3,6.2,43.5,66.2,9.85,1,7.5,75.9,Low
S0312,67.9,7.1,47.9,67.0,5.86,1,6.0,48.5,Medium
S0313,57.8,7.3,75.7,45.7,5.87,0,7.3,55.9,Medium
S0314,65.2,7.9,83.6,71.8,5.27,0,8.5,29.1,Low
S0315,65.2,7.9,93.2,35.8,9.23,3,7.2,65.4,Medium
S0316,63.0,7.6,52.7,90.7,5.75,0,7.6,34.8,Low
S0317,65.9,1.0,42.2,50.9,7.27,3,6.1,74.3,High
S0318,82.7,1.5,97.1,37.4,9.95,3,5.2,25.7,High
S0319,61.3,2.8,45.0,41.5,4.57,1,5.9,98.1,High
S0320,97.2,4.6,47.8,49.4,7.56,1,8.8,74.8,Medium
S0321,95.4,1.2,53.9,51.4,7.32,3,7.3,34.5,High
S0322,71.5,6.8,69.4,37.0,8.94,3,5.7,21.1,High
S0323,63.1,5.1,92.4,51.8,6.45,0,6.5,46.8,Medium
S0324,74.4,4.6,84.4,46.6,6.76,3,8.3,32.2,High
S0325,91.7,1.7,81.0,57.7,5.42,3,7.5,37.5,High
S0326,80.9,2.4,46.4,58.1,8.57,0,7.0,89.8,Medium
S0327,89.2,1.7,58.2,55.3,8.82,0,8.5,68.3,Low
S0328,74.3,6.9,66.1,54.7,5.25,2,7.5,34.1,Medium
S0329,79.8,4.9,44.6,40.4,6.66,0,7.4,64.5,Medium
S0330,60.8,6.0,52.8,36.5,9.41,2,5.4,40.5,High
S0331,85.4,2.7,55.0,47.1,4.51,0,5.0,98.1,High
S0332,56.1,3.3,43.3,80.4,6.14,2,8.8,22.6,High
S0333,83.2,3.5,70.8,94.4,7.55,0,7.2,78.6,Low
S0334,92.3,6.2,80.8,90.7,6.34,0,6.4,81.8,Low
S0335,52.3,6.3,39.5,65.3,6.0,0,7.2,25.4,Medium
S0336,78.8,2.1,66.3,66.9,7.03,0,4.8,33.7,Medium
S0337,50.2,7.6,85.8,53.9,5.5,2,8.2,50.7,Medium
S0338,84.9,1.4,83.6,81.4,7.41,0,5.5,89.5,Low
S0339,49.6,7.2,88.0,80.9,8.39,3,8.1,63.0,Low
S0340,96.5,1.3,64.1,85.7,7.66,2,6.9,72.4,Medium
S0341,52.6,2.5,88.3,88.7,5.01,1,5.7,82.6,Medium
S0342,97.7,6.8,50.6,61.1,9.14,3,4.6,86.2,Medium
S0343,89.0,1.8,58.5,81.0,5.46,2,8.2,58.1,Medium
S0344,77.7,3.6,46.5,83.4,8.71,2,5.3,60.7,Medium
S0345,88.0,3.9,65.4,53.5,6.48,0,4.7,77.4,Medium
S0346,88.7,2.3,60.5,90.8,8.81,2,7.9,41.1,Low
S0347,97.0,5.8,50.7,40.7,5.63,2,6.1,88.4,High
S0348,58.9,6.9,83.9,94.7,5.53,3,6.3,21.7,Medium
S0349,77.5,7.1,55.4,81.2,7.23,1,5.6,35.7,Low
S0350,50.2,3.0,52.7,40.6,4.68,2,8.4,84.0,High
S0351,78.9,4.5,43.5,74.4,5.74,1,5.8,47.2,Medium
S0352,54.4,2.4,63.5,37.1,8.48,0,5.4,32.0,High
S0353,76.1,2.3,54.7,81.2,9.11,0,5.9,34.9,Low
S0354,76.5,1.7,59.0,83.0,4.94,3,5.4,62.5,High
S0355,70.6,7.6,50.3,71.1,9.35,2,5.9,87.7,Low
S0356,73.7,7.2,84.6,86.4,8.89,1,4.9,25.7,Low
S0357,87.0,6.3,95.5,40.9,9.28,2,5.2,22.4,Medium
S0358,89.0,4.4,67.4,51.6,8.34,0,6.4,57.2,Low
S0359,72.1,4.2,76.8,59.9,8.21,0,8.5,96.5,Low
S0360,78.0,4.5,91.4,37.5,7.39,2,4.8,42.3,High
S0361,96.2,4.5,99.9,61.9,8.09,2,5.5,96.7,Low
S0362,51.6,3.8,74.9,50.9,9.56,3,8.6,91.0,Medium
S0363,51.4,1.5,92.8,58.6,5.05,3,8.5,42.7,High
S0364,49.8,1.4,94.1,60.5,6.24,1,7.6,85.4,High
S0365,81.2,7.6,86.4,87.8,4.9,3,5.6,74.9,Medium
S0366,68.0,4.1,65.0,51.2,9.7,1,6.4,60.9,Medium
S0367,87.6,7.6,40.3,88.6,6.95,3,5.5,53.8,Medium
S0368,81.9,1.7,36.0,60.6,8.21,0,5.1,85.2,Medium
S0369,63.4,4.7,66.0,54.7,9.13,0,6.2,83.4,Low
S0370,94.4,2.1,67.1,65.2,9.95,0,7.1,80.6,Low
S0371,86.9,2.4,61.5,60.1,5.39,3,6.1,99.9,High
S0372,59.9,0.7,71.9,50.4,8.9,0,7.2,58.3,Medium
